s_num,ep_num,nth_s_ep,seg_num,seg_name,seg_url
1,Episode_16,23,3,Crazy Glue Bandit,https://unsolvedmysteries.fandom.com//wiki/Crazy_Glue_Bandit
1,Episode_16,23,4,Bigfoot,https://unsolvedmysteries.fandom.com//wiki/Bigfoot
1,Episode_16,23,5,Heirs of George J. Stein,https://unsolvedmysteries.fandom.com//wiki/Heirs_of_George_J._Stein
1,Episode_16,23,6,Joyce McLain,https://unsolvedmysteries.fandom.com//wiki/Joyce_McLain
1,Episode_16,23,7,Jean Marie Gagnon,https://unsolvedmysteries.fandom.com//wiki/Jean_Marie_Gagnon
1,Episode_17,24,1,Burrowing Burglars,https://unsolvedmysteries.fandom.com//wiki/Burrowing_Burglars
1,Episode_17,24,2,Kristle Merzlock,https://unsolvedmysteries.fandom.com//wiki/Kristle_Merzlock
1,Episode_17,24,2,Thomas Sawyer,https://unsolvedmysteries.fandom.com//wiki/Thomas_Sawyer
1,Episode_17,24,3,Robert Leads,https://unsolvedmysteries.fandom.com//wiki/Robert_Leads
1,Episode_17,24,4,Walter Wenke,https://unsolvedmysteries.fandom.com//wiki/Walter_Wenke
1,Episode_17,24,4,Ronald Denslow,https://unsolvedmysteries.fandom.com//wiki/Ronald_Denslow
1,Episode_17,24,5,Permon Gilbert,https://unsolvedmysteries.fandom.com//wiki/Permon_Gilbert
1,Episode_18,25,1,Donald Smith,https://unsolvedmysteries.fandom.com//wiki/Donald_Smith
1,Episode_18,25,1,mw-redirect,https://unsolvedmysteries.fandom.com//wiki/Larry_Munroe
1,Episode_18,25,2,Brushy Bill Roberts,https://unsolvedmysteries.fandom.com//wiki/Brushy_Bill_Roberts
1,Episode_18,25,3,Jean Marie Gagnon,https://unsolvedmysteries.fandom.com//wiki/Jean_Marie_Gagnon
1,Episode_18,25,4,Charles Mule,https://unsolvedmysteries.fandom.com//wiki/Charles_Mule
1,Episode_19,26,1,Lisa Marie Kimmell,https://unsolvedmysteries.fandom.com//wiki/Lisa_Marie_Kimmell
